date,target_up,next_return,pred_up,prob_up,stage,model_type,position,turnover,cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2025-06-26,1,0.0012007263229245613,0,0.45935447538219065,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,0.0012007263229245613,0.741828969529209,1.8231768439717064
2025-06-27,1,0.002234353778444831,0,0.44525869028759146,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.002734353778444831,0.002234353778444831,0.739800546683417,1.8272504660418076
2025-06-28,1,0.009856422495764683,0,0.4987829346564986,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,0.009856422495764683,0.7394306464100753,1.8452606186406986
2025-06-29,0,-0.011535062936840146,0,0.4865574423283499,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,-0.0,-0.011535062936840146,0.7394306464100753,1.8239754212698056
2025-06-30,0,-0.013413452013053329,0,0.4487052995888757,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,0.012913452013053328,-0.013413452013053329,0.7489792485794728,1.7995096144836142
2025-07-01,1,0.02990624847553991,0,0.4562066261950606,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,0.02990624847553991,0.7486047589551832,1.8533261961484842
2025-07-02,1,0.007244728772290987,0,0.4063830001858265,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.0077447287722909874,0.007244728772290987,0.7428070181394291,1.8667530417661617
2025-07-03,0,-0.014716556343200904,0,0.47847459116914626,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.014716556343200904,0.7424356146303593,1.8392808654481683
2025-07-04,1,0.0018220480395592098,0,0.4534575566369032,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.0018220480395592098,0.7424356146303593,1.8426321235432568
2025-07-05,1,0.009247710575546852,0,0.48199578766947515,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.009247710575546852,0.7424356146303593,1.8596722521189901
2025-07-06,0,-0.008534295352390808,0,0.4756549741517263,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,-0.0,-0.008534295352390808,0.7424356146303593,1.843801259860761
2025-07-07,1,0.006005750382996888,0,0.4854601583078551,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.006005750382996888,0.7424356146303593,1.8548746699833398
2025-07-08,1,0.021810695604753683,0,0.4253237766434839,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.022310695604753683,0.021810695604753683,0.7258713596262132,1.8953307767953145
2025-07-09,1,0.041864660687494615,0,0.42927290411205327,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.041864660687494615,0.041864660687494615,0.6954830014526914,1.974678156656416
2025-07-10,1,0.013189291760499877,1,0.5057337954407105,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,0.013189291760499877,0.695135259951965,2.0007227629976434
2025-07-11,0,-0.0006957770402219454,0,0.4915537271110491,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,-0.0,-0.0006957770402219454,0.695135259951965,1.9993307060353003
2025-07-12,1,0.014313342548076147,1,0.5113040047929152,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.014313342548076147,0.695135259951965,2.0279478112976705
2025-07-13,1,0.006158578325259345,0,0.42933981581988845,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.0066585783252593456,0.006158578325259345,0.6905066473769254,2.0404370867330854
2025-07-14,0,-0.01729262210051885,1,0.5117002950290919,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.01729262210051885,0.690161394053237,2.0051525792723264
2025-07-15,1,0.00816219450392297,0,0.46139596585430787,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.00816219450392297,0.690161394053237,2.0215190246343897
