,Unix,Date,Symbol,funding_interval_hours,last_funding_rate
317,1742169600000,2025-03-17T00:00:00,BTCUSDT,8,1.065e-05
318,1742140800000,2025-03-16T16:00:00,BTCUSDT,8,1.247e-05
319,1742112000000,2025-03-16T08:00:00,BTCUSDT,8,4.236e-05
320,1742083200000,2025-03-16T00:00:00,BTCUSDT,8,4.32e-06
321,1742054400000,2025-03-15T16:00:00,BTCUSDT,8,-3.21e-06
322,1742025600000,2025-03-15T08:00:00,BTCUSDT,8,-2.389e-05
323,1741996800000,2025-03-15T00:00:00,BTCUSDT,8,-6.035e-05
324,1741968000000,2025-03-14T16:00:00,BTCUSDT,8,3.57e-06
325,1741939200000,2025-03-14T08:00:00,BTCUSDT,8,5.331e-05
326,1741910400000,2025-03-14T00:00:00,BTCUSDT,8,5.386e-05
327,1741881600000,2025-03-13T16:00:00,BTCUSDT,8,3.19e-05
328,1741852800000,2025-03-13T08:00:00,BTCUSDT,8,2.069e-05
329,1741824000000,2025-03-13T00:00:00,BTCUSDT,8,4.3e-06
330,1741795200001,2025-03-12T16:00:00,BTCUSDT,8,4.013e-05
331,1741766400000,2025-03-12T08:00:00,BTCUSDT,8,5.815e-05
332,1741737600000,2025-03-12T00:00:00,BTCUSDT,8,5.76e-06
333,1741708800001,2025-03-11T16:00:00,BTCUSDT,8,8.746e-05
334,1741680000000,2025-03-11T08:00:00,BTCUSDT,8,3.26e-05
335,1741651200000,2025-03-11T00:00:00,BTCUSDT,8,4.705e-05
336,1741622400000,2025-03-10T16:00:00,BTCUSDT,8,4.037e-05
337,1741593600000,2025-03-10T08:00:00,BTCUSDT,8,1.344e-05
338,1741564800000,2025-03-10T00:00:00,BTCUSDT,8,3.952e-05
339,1741536000000,2025-03-09T16:00:00,BTCUSDT,8,0.0001
340,1741507200000,2025-03-09T08:00:00,BTCUSDT,8,3.218e-05
341,1741478400001,2025-03-09T00:00:00,BTCUSDT,8,-2.779e-05
342,1741449600001,2025-03-08T16:00:00,BTCUSDT,8,1.208e-05
343,1741420800001,2025-03-08T08:00:00,BTCUSDT,8,3.73e-06
344,1741392000000,2025-03-08T00:00:00,BTCUSDT,8,5.328e-05
345,1741363200000,2025-03-07T16:00:00,BTCUSDT,8,2.028e-05
346,1741334400001,2025-03-07T08:00:00,BTCUSDT,8,-1.539e-05
347,1741305600000,2025-03-07T00:00:00,BTCUSDT,8,-6.12e-06
348,1741276800000,2025-03-06T16:00:00,BTCUSDT,8,6.818e-05
349,1741248000001,2025-03-06T08:00:00,BTCUSDT,8,6.413e-05
350,1741219200000,2025-03-06T00:00:00,BTCUSDT,8,3.538e-05
351,1741190400000,2025-03-05T16:00:00,BTCUSDT,8,5.028e-05
352,1741161600000,2025-03-05T08:00:00,BTCUSDT,8,2.722e-05
353,1741132800000,2025-03-05T00:00:00,BTCUSDT,8,4.113e-05
354,1741104000000,2025-03-04T16:00:00,BTCUSDT,8,1.306e-05
355,1741075200005,2025-03-04T08:00:00,BTCUSDT,8,-2.7e-06
356,1741046400001,2025-03-04T00:00:00,BTCUSDT,8,-1.526e-05
357,1741017600000,2025-03-03T16:00:00,BTCUSDT,8,5.272e-05
358,1740988800000,2025-03-03T08:00:00,BTCUSDT,8,7.91e-06
359,1740960000001,2025-03-03T00:00:00,BTCUSDT,8,-5.518e-05
360,1740931200000,2025-03-02T16:00:00,BTCUSDT,8,-2.869e-05
361,1740902400000,2025-03-02T08:00:00,BTCUSDT,8,-2.783e-05
