timestamp,sum_oi,sum_oi_value
1782122400000,99650.45700000,6389505131.65113100
1782126000000,99695.31800000,6391659712.29567500
1782129600000,100019.76700000,6463707428.53810000
1782133200000,100665.92100000,6555364775.52000000
1782136800000,101274.68100000,6637593230.08050000
1782140400000,101254.05900000,6575928102.00697200
1782144000000,101058.56400000,6549393309.85560000
1782147600000,100688.19200000,6514093063.17440000
1782151200000,100347.83800000,6480513551.95900000
1782154800000,100072.08300000,6435225362.18970000
1782158400000,100055.58300000,6450347131.54985700
1782162000000,99830.36400000,6430053779.16720000
1782165600000,99760.93900000,6413789391.81734850
1782169200000,99573.24900000,6367559913.67650000
1782172800000,99597.37000000,6373276294.39352200
1782176400000,99655.58400000,6389856252.72960000
1782180000000,99653.78700000,6390356152.50561700
1782183600000,99648.43800000,6394447290.95242800
1782187200000,100134.35900000,6412432479.56597000
1782190800000,99702.63000000,6340279676.69700000
1782194400000,99466.16000000,6303608210.30400000
1782198000000,97465.66700000,6131126515.46850000
1782201600000,97651.54900000,6137321733.41080000
1782205200000,97555.43800000,6082932758.87680000
1782208800000,97908.88100000,6105056701.60636300
1782212400000,97931.34300000,6100451595.08209500
1782216000000,97937.15000000,6118997101.31607000
1782219600000,97617.72700000,6074710655.41551300
1782223200000,98033.17500000,6121279676.85750000
1782226800000,99317.28600000,6203308024.91700000
1782230400000,99038.77900000,6185694731.63670000
1782234000000,99372.68300000,6214051231.55033600
1782237600000,99039.99900000,6173163137.67000000
1782241200000,99053.47100000,6162928669.37220000
1782244800000,98884.97900000,6169621721.27010000
1782248400000,98747.87900000,6165850018.46471600
1782252000000,98570.15300000,6166962262.04361200
1782255600000,98805.00800000,6181322263.30830900
1782259200000,98871.04400000,6198898071.45920000
1782262800000,98636.68100000,6211674576.97930000
1782266400000,98387.46000000,6189013977.57000000
1782270000000,98373.12700000,6157961003.94600000
1782273600000,97813.06400000,6133329052.89440000
1782277200000,97793.55600000,6134836028.35326000
1782280800000,97693.90500000,6141212775.48581200
1782284400000,97723.74900000,6132692032.45199600
1782288000000,97925.74500000,6132247247.94300000
1782291600000,97639.49400000,6129133720.81140000
1782295200000,97576.82700000,6114440274.96961100
1782298800000,97629.51000000,6093728011.47965300
1782302400000,97054.83500000,6103565052.51300000
1782306000000,97158.84100000,6081113562.88540000
1782309600000,98198.77700000,6020746716.47942000
1782313200000,99633.96100000,6086170397.87330000
1782316800000,101293.63100000,6103579417.62530000
1782320400000,104193.88700000,6233677378.88534400
1782324000000,104169.07500000,6184830489.97500000
1782327600000,104801.27800000,6241859316.40200000
1782331200000,104755.21200000,6278011281.72360000
1782334800000,101840.00300000,6204769139.12825000
1782338400000,101083.56900000,6174780291.25273300
1782342000000,100783.51300000,6132707001.10390000
1782345600000,100826.83400000,6155589125.21740000
1782349200000,100538.05200000,6111487683.64739100
1782352800000,100502.78400000,6120393683.07139900
1782356400000,100880.73700000,6130451808.25659400
1782360000000,100774.62400000,6132538968.89600000
1782363600000,100610.79000000,6170333005.89308600
1782367200000,100499.73300000,6187477111.58430000
1782370800000,100619.08700000,6207856602.00594800
1782374400000,99881.27400000,6181322439.65580000
1782378000000,99332.58700000,6127191563.47320000
1782381600000,99118.55200000,6116718887.19232800
1782385200000,98947.88500000,6060102795.97900000
1782388800000,99978.42900000,6124498599.36780000
1782392400000,99642.93100000,6099955489.16097600
1782396000000,103063.79200000,6003300981.93280000
1782399600000,105164.26500000,6251878840.70550000
1782403200000,105886.54700000,6304066897.80694600
1782406800000,105969.43100000,6282955755.51247200
1782410400000,105871.78400000,6315891581.96649200
1782414000000,106106.71200000,6310611008.26894000
1782417600000,106716.00400000,6326476879.93320000
1782421200000,106353.52900000,6321031135.60017700
1782424800000,106055.22500000,6382827661.40000000
1782428400000,105421.67200000,6305818395.01440000
1782432000000,105339.46500000,6295950212.01300000
1782435600000,105663.20000000,6302282344.22340900
1782439200000,106198.93000000,6309607647.98300000
1782442800000,106823.11700000,6252225341.36201300
1782446400000,105849.29100000,6353656616.92050000
1782450000000,106295.61600000,6367107398.40000000
1782453600000,106091.87700000,6357226844.40630000
1782457200000,106045.25700000,6394412347.31730000
1782460800000,106924.56000000,6469565477.37815000
1782464400000,106716.09800000,6425941855.89940000
1782468000000,106366.04500000,6351520737.92100000
1782471600000,106646.08500000,6323046379.65000000
1782475200000,106357.96400000,6316868892.07728800
1782478800000,105891.89000000,6264579552.14485500
1782482400000,103278.17600000,6211552289.52640000
1782486000000,103935.39400000,6191675760.64102500
1782489600000,104450.68800000,6298439156.81280000
1782493200000,104660.13800000,6282281688.22828500
1782496800000,104770.81600000,6286248960.00000000
1782500400000,104494.12500000,6232933689.84027300
1782504000000,103934.94100000,6215777179.03450000
1782507600000,103815.04000000,6197207668.28800000
1782511200000,103684.78100000,6209699577.49600100
1782514800000,103623.54700000,6218273199.55241300
1782518400000,103637.48700000,6225711119.06400000
1782522000000,103960.12900000,6240851806.78507200
1782525600000,104036.64900000,6234302558.34090000
1782529200000,104346.24600000,6288156616.81925900
1782532800000,104632.91200000,6307433716.03866200
1782536400000,104540.98000000,6295029197.58200000
1782540000000,104619.86900000,6299727324.22216200
1782543600000,104660.46100000,6315876823.56047250
1782547200000,104724.66800000,6338125411.76240000
1782550800000,104753.44200000,6329819599.05367300
1782554400000,104764.31400000,6327877073.36293100
1782558000000,104818.22300000,6330264325.96801400
1782561600000,104514.64200000,6305573681.47722000
1782565200000,104559.90500000,6314880853.08903500
1782568800000,104673.97200000,6339264541.58784100
1782572400000,104808.53900000,6350244569.47100000
1782576000000,104509.33800000,6355965311.01360000
1782579600000,104320.55100000,6341280311.58299000
1782583200000,103760.73400000,6277067859.77040000
1782586800000,103715.34500000,6278937357.83450000
1782590400000,103739.88800000,6239985927.92104500
1782594000000,103481.92000000,6236255123.26400000
1782597600000,102939.64800000,6194363945.54113500
1782601200000,102994.95700000,6200800121.67084100
1782604800000,102912.56700000,6174784893.77010000
1782608400000,102913.17000000,6187820383.97192200
1782612000000,103015.91000000,6200846972.22100000
1782615600000,103068.32400000,6196887779.05547500
1782619200000,102980.78600000,6196364433.47997900
1782622800000,103094.51200000,6196557500.46720000
1782626400000,102977.20800000,6174364006.82317000
1782630000000,102919.49700000,6172737448.94781500
1782633600000,102830.72600000,6189628191.68240000
1782637200000,102739.79400000,6199762002.29544400
1782640800000,102810.25700000,6192922103.31597300
1782644400000,102806.39900000,6182612345.62160000
1782648000000,102877.83400000,6205076557.71000000
1782651600000,102925.61800000,6203934258.00620000
1782655200000,103318.46900000,6204060543.10600950
1782658800000,103443.78300000,6206795720.04768500
1782662400000,103359.76900000,6186473952.36494500
1782666000000,103151.17100000,6153674455.29331100
1782669600000,102503.10000000,6104797627.32000000
1782673200000,102333.78200000,6097796835.21540400
1782676800000,102275.72100000,6080694987.66733800
1782680400000,102053.35200000,6085859798.50320000
1782684000000,102152.42900000,6069703241.56490000
1782687600000,102779.13900000,6069827949.30682900
1782691200000,102976.52800000,6132283135.35840000
1782694800000,103311.57900000,6163369728.54273200
1782698400000,103554.73200000,6152583205.22361000
1782702000000,104244.97100000,6226876632.42472300
1782705600000,104679.29600000,6283552742.71566400
1782709200000,104687.13100000,6260939494.01220000
1782712800000,104322.66600000,6267309347.14920000
1782716400000,104562.79700000,6279100522.64700000
1782720000000,104679.97700000,6280928001.41690000
1782723600000,104589.03300000,6255566844.96472800
1782727200000,104597.42700000,6279156349.88643000
1782730800000,104745.11200000,6291242814.98880000
1782734400000,104754.92800000,6278915111.23088300
1782738000000,104038.31400000,6234329505.14760000
1782741600000,104493.21600000,6222468405.00525300
1782745200000,103944.05900000,6178195795.62430000
1782748800000,101676.52300000,6080599179.87926100
1782752400000,101542.26000000,6079615336.34827000
1782756000000,103068.59100000,6224291596.77180000
1782759600000,103217.86700000,6221487898.78510000
1782763200000,103363.78100000,6244474756.04060000
1782766800000,102451.26500000,6174597068.53953600
1782770400000,102117.64500000,6173512016.71050000
1782774000000,102068.99500000,6157455019.96800000
1782777600000,102060.26600000,6146720996.82562100
