timestamp,datetime,sum_open_interest,sum_open_interest_value,long_short_ratio,top_long_short_account_ratio,top_long_short_position_ratio,taker_long_short_vol_ratio
1783108800000,2026-07-03 20:00:00,108444.45900000,6743804936.67999900,1.6192,1.7435,1.1582,0.7656
1783109100000,2026-07-03 20:05:00,108742.92900000,6761969901.20883700,1.6185,1.7435,1.1505,1.4535
1783109400000,2026-07-03 20:10:00,108009.62200000,6737672602.89650700,1.6288,1.7435,1.1721,1.5234
1783109700000,2026-07-03 20:15:00,107978.50400000,6739107129.14366150,1.6254,1.7390,1.1731,1.4546
1783110000000,2026-07-03 20:20:00,107186.97000000,6709904322.00000000,1.6110,1.7159,1.2064,1.1252
1783110300000,2026-07-03 20:25:00,106975.83500000,6697195962.74733450,1.6055,1.7093,1.2166,1.2542
1783110600000,2026-07-03 20:30:00,106918.07100000,6693081936.40710000,1.6048,1.7086,1.2195,1.2303
1783110900000,2026-07-03 20:35:00,106891.29200000,6696739443.80000000,1.6021,1.7056,1.2180,1.8204
1783111200000,2026-07-03 20:40:00,106297.56700000,6661105230.74509600,1.6042,1.6918,1.2481,0.8852
1783111500000,2026-07-03 20:45:00,106262.50700000,6661410452.74877100,1.6001,1.6903,1.2499,1.5800
1783111800000,2026-07-03 20:50:00,106203.52500000,6669032102.29966600,1.5981,1.6867,1.2479,0.7119
1783112100000,2026-07-03 20:55:00,106219.14000000,6669845403.04456000,1.5954,1.6838,1.2459,0.5600
1783112400000,2026-07-03 21:00:00,106205.85800000,6665394683.39360000,1.5887,1.6788,1.2450,0.8736
1783112700000,2026-07-03 21:05:00,106287.96100000,6672736933.98780000,1.5867,1.6767,1.2430,1.4932
1783113000000,2026-07-03 21:10:00,106221.88400000,6666368595.76760000,1.5833,1.6731,1.2388,1.1066
1783113300000,2026-07-03 21:15:00,105996.02500000,6649817077.73942850,1.5853,1.6738,1.2338,0.6256
1783113600000,2026-07-03 21:20:00,105958.72500000,6633876579.06117100,1.5727,1.6596,1.2325,0.6938
1783113900000,2026-07-03 21:25:00,106009.01300000,6639741865.88913800,1.5694,1.6567,1.2325,1.3610
1783114200000,2026-07-03 21:30:00,106033.36500000,6638568725.92950000,1.5648,1.6525,1.2312,0.7721
1783114500000,2026-07-03 21:35:00,106037.72400000,6630867598.66440000,1.5602,1.6483,1.2310,1.3780
1783114800000,2026-07-03 21:40:00,106019.60700000,6628791111.98940000,1.5602,1.6483,1.2315,2.0304
1783115100000,2026-07-03 21:45:00,105987.55400000,6633686813.57220000,1.5582,1.6469,1.2338,1.1650
1783115400000,2026-07-03 21:50:00,105897.68300000,6635804770.71205200,1.5634,1.6518,1.2346,1.0672
1783115700000,2026-07-03 21:55:00,105889.45000000,6646850199.62000000,1.5654,1.6532,1.2321,0.6940
1783116000000,2026-07-03 22:00:00,105903.70900000,6641491295.13828700,1.5641,1.6518,1.2323,0.5700
1783116300000,2026-07-03 22:05:00,105939.05400000,6636203477.61536400,1.5608,1.6476,1.2315,0.9635
1783116600000,2026-07-03 22:10:00,105968.61000000,6634122441.60600000,1.5569,1.6455,1.2308,0.6938
1783116900000,2026-07-03 22:15:00,105990.11900000,6635638588.13780000,1.5556,1.6441,1.2300,1.1636
1783117200000,2026-07-03 22:20:00,105977.86600000,6639365706.91472700,1.5549,1.6427,1.2299,1.0427
1783117500000,2026-07-03 22:25:00,105988.52900000,6640244934.96740000,1.5536,1.6420,1.2296,0.4764
1783117800000,2026-07-03 22:30:00,106021.18300000,6637790686.20511100,1.5530,1.6413,1.2298,0.4915
1783118100000,2026-07-03 22:35:00,106074.27900000,6636852223.22883900,1.5497,1.6399,1.2323,1.5612
1783118400000,2026-07-03 22:40:00,106124.32000000,6638850923.53600000,1.5491,1.6392,1.2330,0.9076
1783118700000,2026-07-03 22:45:00,106099.78500000,6641277265.54679000,1.5484,1.6385,1.2326,1.3310
1783119000000,2026-07-03 22:50:00,106080.74100000,6637281019.03620000,1.5471,1.6385,1.2321,0.9143
1783119300000,2026-07-03 22:55:00,106092.05700000,6638290043.17274600,1.5458,1.6364,1.2322,0.5157
1783119600000,2026-07-03 23:00:00,106096.06200000,6636481010.39502400,1.5458,1.6364,1.2315,0.7997
1783119900000,2026-07-03 23:05:00,106117.30100000,6637182058.13258200,1.5439,1.6350,1.2311,1.0044
1783120200000,2026-07-03 23:10:00,106116.67800000,6634234310.20740000,1.5394,1.6316,1.2299,1.1828
1783120500000,2026-07-03 23:15:00,106122.47500000,6637657994.66546600,1.5407,1.6316,1.2297,2.2238
1783120800000,2026-07-03 23:20:00,106202.18000000,6647821039.06200000,1.5400,1.6316,1.2311,1.5923
1783121100000,2026-07-03 23:25:00,106166.56900000,6647386151.48320000,1.5394,1.6295,1.2310,1.0738
1783121400000,2026-07-03 23:30:00,106252.98700000,6651793283.36909200,1.5394,1.6295,1.2310,1.4967
1783121700000,2026-07-03 23:35:00,106249.01900000,6656065419.37210000,1.5413,1.6316,1.2311,1.0666
1783122000000,2026-07-03 23:40:00,106246.55600000,6658216672.78560000,1.5445,1.6337,1.2315,1.4599
1783122300000,2026-07-03 23:45:00,106251.58200000,6657520562.35457000,1.5445,1.6344,1.2318,0.4632
1783122600000,2026-07-03 23:50:00,106250.80600000,6645732913.36560000,1.5445,1.6344,1.2321,1.0444
1783122900000,2026-07-03 23:55:00,106239.23400000,6648111298.17120000,1.5445,1.6337,1.2317,0.7237
1783123200000,2026-07-04 00:00:00,106236.15400000,6649185983.63157750,1.5458,1.6344,1.2317,1.4635
1783123500000,2026-07-04 00:05:00,106250.52700000,6648354028.11779500,1.5478,1.6357,1.2314,2.2598
1783123800000,2026-07-04 00:10:00,106216.89800000,6682593650.91080000,1.5445,1.6288,1.2372,1.3577
1783124100000,2026-07-04 00:15:00,106442.67500000,6685946417.33425700,1.5349,1.6219,1.2394,0.8788
1783124400000,2026-07-04 00:20:00,106482.77900000,6689099100.88940000,1.5336,1.6205,1.2387,0.6394
1783124700000,2026-07-04 00:25:00,106494.32500000,6681097039.40013600,1.5310,1.6178,1.2389,1.0472
1783125000000,2026-07-04 00:30:00,106511.72000000,6682767243.08979900,1.5284,1.6164,1.2393,0.8686
1783125300000,2026-07-04 00:35:00,106535.43600000,6685098609.00000000,1.5278,1.6151,1.2395,0.3148
